,DATE,TOTAL_FATALITIES
0,1908-09-17,1.0
1,1909-09-07,1.0
2,1912-07-12,5.0
3,1913-08-06,1.0
4,1913-09-09,14.0
5,1913-10-17,30.0
6,1915-03-05,21.0
7,1915-09-03,19.0
8,1916-07-28,20.0
9,1916-09-24,22.0
10,1916-10-01,19.0
11,1916-11-21,27.0
12,1916-11-28,20.0
13,1917-03-04,20.0
14,1917-03-30,23.0
15,1917-05-14,21.0
16,1917-06-14,24.0
17,1917-06-17,14.0
18,1917-08-21,18.0
19,1917-10-20,18.0
20,1918-04-07,23.0
21,1918-05-10,22.0
22,1918-08-11,19.0
23,1918-12-16,1.0
24,1919-05-25,1.0
25,1919-07-19,1.0
26,1919-07-21,3.0
27,1919-08-02,14.0
28,1919-10-02,1.0
29,1919-10-14,1.0
30,1919-10-20,0.0
31,1919-10-30,1.0
32,1919-12-11,1.0
33,1920-03-10,1.0
34,1920-03-30,1.0
35,1920-04-10,1.0
36,1920-04-11,1.0
37,1920-05-12,1.0
38,1920-06-06,1.0
39,1920-07-20,1.0
40,1920-08-16,1.0
41,1920-08-16,1.0
42,1920-09-01,2.0
43,1920-09-15,2.0
44,1920-09-27,1.0
45,1920-10-02,2.0
46,1920-10-05,2.0
47,1920-10-15,1.0
48,1920-11-07,1.0
49,1920-12-14,4.0
50,1920-12-24,1.0
51,1921-02-03,1.0
52,1921-02-09,3.0
53,1921-02-15,2.0
54,1921-02-22,1.0
55,1921-04-06,2.0
56,1921-04-21,1.0
57,1921-04-29,1.0
58,1921-05-17,1.0
59,1921-08-14,2.0
60,1921-08-24,46.0
61,1921-09-06,5.0
62,1921-12-05,2.0
63,1922-01-14,5.0
64,1922-02-21,34.0
65,1922-03-22,5.0
66,1922-04-07,7.0
67,1922-04-08,17.0
68,1922-06-03,3.0
69,1922-07-04,2.0
70,1922-07-16,5.0
71,1922-07-26,3.0
72,1922-09-07,1.0
73,1922-10-02,4.0
74,1922-10-25,2.0
75,1922-12-03,1.0
76,1923-01-10,3.0
77,1923-01-17,1.0
78,1923-01-18,1.0
79,1923-02-26,1.0
