Row Labels,Count of Aboard,Count of cn/ln,Count of Aboard Passangers,Count of Aboard Crew,Count of Fatalities,Count of Fatalities Passangers,Count of Fatalities Crew
9/17/1908,1,1,1,1,1,1,1
9/7/1909,1,0,1,1,1,1,1
7/12/1912,1,0,1,1,1,1,1
8/6/1913,1,0,1,1,1,1,1
9/9/1913,1,0,1,1,1,1,1
10/17/1913,1,0,1,1,1,1,1
3/5/1915,1,0,1,1,1,1,1
9/3/1915,1,0,1,1,1,1,1
7/28/1916,1,0,1,1,1,1,1
9/24/1916,1,0,1,1,1,1,1
10/1/1916,1,0,1,1,1,1,1
11/21/1916,1,0,1,1,1,1,1
11/28/1916,1,0,1,1,1,1,1
3/4/1917,1,0,1,1,1,1,1
3/30/1917,1,0,1,1,1,1,1
5/14/1917,1,0,1,1,1,1,1
6/14/1917,1,0,1,1,1,1,1
6/17/1917,1,0,1,1,1,1,1
8/21/1917,1,0,1,1,1,1,1
10/20/1917,1,0,1,1,1,1,1
4/7/1918,1,0,1,1,1,1,1
5/10/1918,1,0,1,1,1,1,1
8/11/1918,1,0,1,1,1,1,1
12/16/1918,1,0,1,1,1,1,1
5/25/1919,1,0,1,1,1,1,1
7/19/1919,1,0,1,1,1,1,1
7/21/1919,1,0,1,1,1,1,1
8/2/1919,1,0,1,1,1,1,1
10/2/1919,1,0,1,1,1,1,1
10/14/1919,1,0,1,1,1,1,1
10/20/1919,1,0,1,1,1,1,1
10/30/1919,1,1,1,1,1,1,1
12/11/1919,1,0,1,1,1,1,1
3/10/1920,1,0,1,1,1,1,1
3/30/1920,1,0,1,1,1,1,1
4/10/1920,1,0,1,1,1,1,1
4/11/1920,1,0,1,1,1,1,1
5/12/1920,1,0,1,1,1,1,1
6/6/1920,1,0,1,1,1,1,1
7/20/1920,1,0,1,1,1,1,1
8/16/1920,2,0,2,2,2,2,2
9/1/1920,1,0,1,1,1,1,1
9/15/1920,1,0,1,1,1,1,1
9/27/1920,1,0,1,1,1,1,1
10/2/1920,1,1,1,1,1,1,1
10/5/1920,1,1,1,1,1,1,1
10/15/1920,1,0,1,1,1,1,1
11/7/1920,1,1,1,1,1,1,1
12/14/1920,1,1,1,1,1,1,1
12/24/1920,1,1,1,1,1,1,1
2/3/1921,1,0,1,1,1,1,1
2/9/1921,1,0,1,1,1,1,1
2/15/1921,1,0,1,1,1,1,1
2/22/1921,1,0,1,1,1,1,1
4/6/1921,1,0,1,1,1,1,1
4/21/1921,1,0,1,1,1,1,1
4/29/1921,1,0,1,1,1,1,1
5/17/1921,1,0,1,1,1,1,1
8/14/1921,1,0,1,1,1,1,1
8/24/1921,1,1,1,1,1,1,1
9/6/1921,1,1,1,1,1,1,1
12/5/1921,1,1,1,1,1,1,1
1/14/1922,1,1,1,1,1,1,1
2/21/1922,1,0,1,1,1,1,1
3/22/1922,1,0,1,1,1,1,1
4/7/1922,1,1,1,1,1,1,1
4/8/1922,1,0,1,1,1,1,1
6/3/1922,1,1,1,1,1,1,1
7/4/1922,1,0,1,1,1,1,1
7/16/1922,1,1,1,1,1,1,1
7/26/1922,1,1,1,1,1,1,1
9/7/1922,1,0,1,1,1,1,1
10/2/1922,1,1,1,1,1,1,1
10/25/1922,1,0,1,1,1,1,1
12/3/1922,1,1,1,1,1,1,1
1/10/1923,1,1,1,1,1,1,1
1/17/1923,1,1,1,1,1,1,1
1/18/1923,1,0,1,1,1,1,1
2/26/1923,1,0,1,1,1,1,1
5/14/1923,1,1,1,1,1,1,1
8/27/1923,2,2,2,2,2,2,2
9/7/1923,1,0,1,1,1,1,1
